City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,susuman,62.7833,148.1667,7.460000000000036,73,2,1.25,RU,1691690000
1,alo,7.4178,6.7371,25.840000000000032,90,97,1.51,NG,1691645201
2,ushuaia,-54.8,-68.3,4.810000000000002,81,75,4.12,AR,1691669126
3,saint-leu,-21.15,55.2833,20.480000000000018,91,16,1.21,RE,1691635537
4,invercargill,-46.4,168.35,1.1200000000000045,91,100,1.79,NZ,1691697271
5,nyborg,55.3127,10.7896,19.400000000000034,67,82,7.1,DK,1691638804
6,peace river,56.2501,-117.286,16.170000000000016,94,75,2.57,CA,1691669352
7,port-aux-francais,-49.35,70.2167,5.110000000000014,93,100,15.38,TF,1691634933
8,dabhol,17.6,73.1667,24.99000000000001,88,7,1.3,IN,1691628523
9,coahuayana de hidalgo,18.7,-103.6583,32.76000000000005,54,96,1.3,MX,1691670886
10,albany,42.6001,-73.9662,24.010000000000048,77,99,2.97,US,1691661418
11,avarua,-21.2078,-159.775,22.03000000000003,94,75,8.23,CK,1691687133
12,bandarbeyla,9.4942,50.8122,24.060000000000002,83,8,13.16,SO,1691634478
13,kongsvinger,60.1905,11.9977,17.480000000000018,39,89,2.13,NO,1691637135
14,georgetown,5.4112,100.3354,28.30000000000001,80,20,2.24,MY,1691709275
15,tosontsengel,48.7567,98.2839,10.5,86,30,0.83,MN,1691619112
16,demyansk,57.643,32.466,18.760000000000048,62,73,0.91,RU,1691632991
17,at taraf,25.3628,49.725,40.30000000000001,43,0,3.5,SA,1691633527
18,magnitogorsk,53.4186,59.0472,19.310000000000002,70,64,5.44,RU,1691627639
19,al majaridah,19.1236,41.9111,34.93000000000001,40,62,1.2,SA,1691635909
20,wailua homesteads,22.0669,-159.378,26.439999999999998,84,100,7.72,US,1691683999
21,adamstown,-25.066,-130.1015,18.27000000000004,62,65,10.75,PN,1691680315
22,revda,56.801,59.9303,11.100000000000023,96,77,1.85,RU,1691626619
23,vorgashor,67.5833,63.95,9.600000000000023,85,23,3.92,RU,1691621107
24,west island,-12.1568,96.8225,24.99000000000001,88,75,7.2,CC,1691624916
25,vilyuchinsk,52.9306,158.4028,9.150000000000034,86,39,1.73,RU,1691690372
26,tazovsky,67.4667,78.7,10.360000000000014,67,1,9.01,RU,1691617638
27,jamestown,42.097,-79.2353,23.900000000000034,72,100,3.09,US,1691662750
28,dunedin,-45.8742,170.5036,2.670000000000016,72,100,0.45,NZ,1691696682
29,port lincoln,-34.7333,135.8667,9.970000000000027,76,6,2.19,AU,1691703715
30,iskateley,67.6803,53.1512,13.660000000000025,72,3,3.92,RU,1691623638
31,batroun,34.2553,35.6581,28.08000000000004,83,8,1.8,LB,1691636071
32,union,40.6334,-74.2663,27.950000000000045,73,75,3.6,US,1691661744
33,mossel bay,-34.1831,22.146,24.960000000000036,57,0,1.96,ZA,1691644596
34,bilibino,68.0546,166.4372,8.930000000000007,78,98,1.89,RU,1691682760
35,caleta de carquin,-11.0925,-77.6267,21.53000000000003,70,22,4.67,PE,1691666699
36,igrim,63.1906,64.4162,14.160000000000025,65,79,2.51,RU,1691623396
37,pariaman,-0.619,100.12,25.03000000000003,86,56,1.22,ID,1691623337
38,papatowai,-46.5619,169.4708,2.3700000000000045,86,100,2.51,NZ,1691697025
39,waitangi,-43.9535,-176.5597,10.460000000000036,81,75,7.45,NZ,1691779642
40,zhaotong,27.3167,103.7167,18.03000000000003,93,33,1.33,CN,1691706826
41,rabaul,-4.1967,152.1721,25.560000000000002,81,94,7.76,PG,1691697475
42,barreiro do jaiba,-15.6167,-43.6,31.27000000000004,22,83,3.05,BR,1691658852
43,margaret river,-33.95,115.0667,12.480000000000018,77,51,2.58,AU,1691708628
44,hami,42.8,93.45,30.710000000000036,18,1,5.95,CN,1691707647
45,nar'yan-mar,67.6713,53.087,13.770000000000039,72,3,3.92,RU,1691623660
46,bredasdorp,-34.5322,20.0403,15.400000000000034,69,0,1.33,ZA,1691645135
47,puerto natales,-51.7236,-72.4875,3.4700000000000273,95,100,2.51,CL,1691669540
48,inarajan village,13.2736,144.7484,26.54000000000002,97,99,9.16,GU,1691698072
49,saint-pierre,-21.3393,55.4781,20.82000000000005,78,100,2.57,RE,1691635505
50,olonkinbyen,70.9221,-8.7187,6.990000000000009,97,45,5.08,SJ,1691635496
51,nuku'alofa,-21.1333,-175.2,21.189999999999998,100,75,0.51,TO,1691777190
52,grytviken,-54.2811,-36.5092,-3.2899999999999636,95,95,3.42,GS,1691661400
53,yellowknife,62.456,-114.3525,19.29000000000002,59,40,4.12,CA,1691666690
54,cikarang,-6.2611,107.1528,27.83000000000004,79,14,1.05,ID,1691622031
55,pemangkat,1.1667,108.9667,26.360000000000014,83,100,3.66,ID,1691621093
56,ilulissat,69.2167,-51.1,8.010000000000048,71,75,2.57,GL,1691647519
57,danilovka,50.3557,44.1168,28.200000000000045,32,98,6.35,RU,1691631839
58,acarau,-2.8856,-40.12,31.210000000000036,49,42,8.59,BR,1691657143
59,stanley,54.868,-1.6985,25.439999999999998,64,20,3.09,GB,1691641910
60,taghazout,30.5426,-9.7112,42.43000000000001,19,34,8.5,MA,1691647332
61,ribeira grande,38.5167,-28.7,27.220000000000027,65,20,5.36,PT,1691651056
62,hawaiian paradise park,19.5933,-154.9731,22.24000000000001,99,100,2.57,US,1691683136
63,east london,-33.0153,27.9116,19.52000000000004,82,0,5.14,ZA,1691643102
64,qaqortoq,60.7167,-46.0333,8.230000000000018,70,11,3.4,GL,1691650908
65,isafjordur,66.0755,-23.124,11.020000000000039,58,75,4.63,IS,1691643020
66,aasiaat,68.7098,-52.8699,3.1899999999999977,91,100,4.01,GL,1691648378
67,mangrol,21.1167,70.1167,27.210000000000036,80,100,6.85,IN,1691628982
68,thinadhoo,0.5333,72.9333,27.650000000000034,79,53,4.39,MV,1691629783
69,lompoc,34.6391,-120.4579,21.120000000000005,68,100,2.24,US,1691673518
70,port alfred,-33.5906,26.891,18.430000000000007,89,0,1.34,ZA,1691643401
71,faya-largeau,17.9257,19.1043,36.23000000000002,36,1,3.23,TD,1691641476
72,college,64.8569,-147.8028,14.330000000000041,96,100,2.06,US,1691673668
73,dolinsk,47.35,142.8,13.610000000000014,98,100,5.42,RU,1691695132
74,digri,25.1558,69.1113,29.510000000000048,65,64,8.16,PK,1691628891
75,blackmans bay,-43.0167,147.3167,9.07000000000005,87,100,2.69,AU,1691701870
76,jackson,42.4165,-122.8345,23.810000000000002,57,0,1.54,US,1691673180
77,utrik,11.2278,169.8474,27.77000000000004,69,55,5.77,MH,1691692192
78,pollachi,10.6667,77.0167,26.58000000000004,87,100,3.78,IN,1691628106
79,cold lake,54.4502,-110.2017,12.970000000000027,94,100,2.57,CA,1691668080
80,tanout,14.9709,8.8879,30.670000000000016,47,95,4.94,NE,1691644149
81,atar,20.5169,-13.0499,45.97000000000003,8,10,11.74,MR,1691648994
82,nabire,-3.3667,135.4833,24.170000000000016,88,88,1.65,ID,1691701424
83,kyaikkami,16.08,97.5675,26.82000000000005,85,91,5.09,MM,1691622781
84,iqaluit,63.7506,-68.5145,6.850000000000023,87,75,3.6,CA,1691655120
85,conde,-7.2597,-34.9075,28.700000000000045,58,75,7.72,BR,1691656187
86,anadyr,64.75,177.4833,7.28000000000003,87,75,3.0,RU,1691682072
87,santa cruz,-17.8,-63.1667,32.03000000000003,51,40,12.86,BO,1691663704
88,brookings,44.3114,-96.7984,24.689999999999998,86,99,4.95,US,1691666667
89,masuguru,-11.3667,38.4167,26.430000000000007,26,20,1.07,TZ,1691638875
90,kragero,58.8693,9.4149,18.03000000000003,59,53,3.47,NO,1691638176
91,homa bay,-0.5273,34.4571,21.090000000000032,74,26,0.95,KE,1691639088
92,taltal,-25.4,-70.4833,19.220000000000027,63,50,4.36,CL,1691666040
93,bijar,35.8668,47.6051,26.53000000000003,14,0,4.94,IR,1691633031
94,cabo san lucas,22.8909,-109.9124,33.670000000000016,72,40,2.24,MX,1691672058
95,aoulef,26.9667,1.0833,43.0,8,0,7.78,DZ,1691645067
96,rong kwang,18.339,100.3174,23.82000000000005,95,100,0.82,TH,1691621949
97,astrakhan,46.3497,48.0408,27.930000000000007,51,0,3.13,RU,1691631574
98,nagqu,31.5,92.0,7.990000000000009,83,100,1.21,CN,1691709258
99,nova sintra,14.8667,-24.7167,22.78000000000003,73,26,6.11,CV,1691652223
100,manicore,-5.8092,-61.3003,32.97000000000003,62,40,2.57,BR,1691662422
101,kodiak,57.79,-152.4072,10.730000000000018,93,100,3.6,US,1691677385
102,ust-nera,64.5667,143.2,13.340000000000032,67,3,1.45,RU,1691690407
103,port saint john's,-31.6229,29.5448,18.83000000000004,83,0,7.64,ZA,1691642581
104,valley city,46.9233,-98.0032,19.29000000000002,77,0,6.69,US,1691666567
105,neya,58.2972,43.8681,22.730000000000018,66,29,2.31,RU,1691630064
106,lautoka,-17.6167,177.4667,18.920000000000016,100,100,2.57,FJ,1691692328
107,inhambane,-23.865,35.3833,21.99000000000001,68,20,2.68,MZ,1691640522
108,ain beida,35.7964,7.3928,31.55000000000001,14,0,7.31,DZ,1691642695
109,grand island,40.925,-98.342,29.450000000000045,65,0,3.09,US,1691667490
110,jalor,25.35,72.6167,28.450000000000045,72,100,5.19,IN,1691628033
111,mingshui,36.7167,117.5,24.150000000000034,67,68,2.79,CN,1691702603
112,punta arenas,-53.15,-70.9167,4.310000000000002,74,97,4.66,CL,1691669425
113,bardai,11.65,7.2333,24.210000000000036,81,97,2.42,NG,1691644786
114,island harbour,50.724,-1.2758,24.04000000000002,77,16,2.68,GB,1691642676
115,piti village,13.4626,144.6933,26.49000000000001,92,75,3.09,GU,1691698072
116,woolgoolga,-30.1106,153.2007,14.930000000000007,58,0,3.59,AU,1691699133
117,malanje,-9.5402,16.341,27.870000000000005,18,28,0.96,AO,1691644046
118,kuta,-8.7233,115.1723,25.0,88,20,4.12,ID,1691706656
119,whitehorse,60.7161,-135.0538,14.5,71,75,1.34,CA,1691672310
120,hono,57.6897,11.6497,17.379999999999995,75,52,3.83,SE,1691637981
121,badger,64.8,-147.5333,14.28000000000003,95,100,2.06,US,1691673632
122,port elizabeth,-33.918,25.5701,20.05000000000001,88,0,3.09,ZA,1691643749
123,pontianak,-0.0333,109.3333,24.99000000000001,100,40,1.03,ID,1691621086
124,taro,-8.3862,115.28,21.03000000000003,89,69,1.34,ID,1691706607
125,tazacorte,28.629,-17.9293,27.54000000000002,69,0,8.23,ES,1691649483
126,worland,44.0169,-107.9554,24.640000000000043,58,0,3.6,US,1691669388
127,tolanaro,-25.0319,46.9987,19.04000000000002,82,75,2.06,MG,1691637829
128,big stone gap,36.8677,-82.7745,22.310000000000002,99,100,2.79,US,1691664230
